G1,G2,G3
D3ZBE5,A0A0G2JXT9,
D3ZWW5,D3ZEI6,
Q587K3,P13599,
P07824,F1LVL2,
D3ZD80,Q642A2,
D3ZDU5,P97538,
D3ZIJ5,Q9Z1A5,
A0A0G2K7X3,B2RZC0,
M0RD98,Q6TXI6,
D3Z9R8,Q9WTT7,
D3ZPA1,Q5XI49,
P20037,A0A0G2KAZ6,
F7FL53,D3Z9A5,
B1WC80,P97524,
D3ZR79,D3ZV91,
P14630,M0RD55,
P22791,B5DEH7,
Q9Z2P4,Q62931,
D3ZUV9,D3ZVS6,
Q6EV70,A0A0G2K214,
Q9WV57,B5DFE7,
G3V6K3,P63081,
P0C089,D4A5S9,
A0A096MJJ6,F1LNR9,
D3ZJZ0,E9PT51,
D3ZF12,P05506,
B2RZB6,M0RA39,
B2RYC9,D4A166,
B0BMY6,P57093,
B1H264,,
A0A0G2KB26,,
Q5EB96,,
